Keyword,Source,Author,Title,URL,Text,Published,compound score,negative score,positive score,neutral score
migrant,Fox News,Greg Norman,"Migrant caravan of 2,000 Hondurans heading to US despite COVID-19 threat",https://www.foxnews.com/world/new-migrant-caravan-of-2000-hondurans-heading-toward-us-despite-threat-of-coronavirus-detentions,"A migrant caravan of about 2,000 Hondurans is now passing though Guatemala in hopes of reaching the U.S.-Mexico border, despite the risks posed by the coronavirus pandemic and threats from the countr… [+3626 chars]",2020-10-02T13:08:12Z,0.4168,0.0,0.217,0.783
migrant,Fox News,Fox News,How Andrew Cuomo is using COVID-19 pandemic to oppress New Yorkers,https://www.foxnews.com/transcript/how-andrew-cuomo-is-using-covid-19-pandemic-to-oppress-new-yorkers,"Oct. 1, 2020 This is a rush transcript from “The Ingraham Angle” October 1, 2020. This copy may not be in its final form and may be updated.
INGRAHAM: All right. I'm Laura Ingraham. This is Ingraham… [+38687 chars]",2020-10-10T20:52:00Z,0.0,0.0,0.0,1.0
migrant,CBS News,Camilo Montoya-Galvez,U.S. stops holding migrant children in hotels,https://www.cbsnews.com/news/u-s-stops-holding-migrant-children-in-hotels-but-says-they-can-still-be-expelled/,"The Trump administration has quietly stopped its controversial practice of holding migrant children in hotels before expelling them from the southern border, though it says these minors can still be … [+8441 chars]",2020-10-01T23:41:05Z,-0.1531,0.211,0.0,0.789
migrant,CBS News,Camilo Montoya-Galvez,15-year-old girl facing deportation after hospital arrest,https://www.cbsnews.com/news/15-year-old-girl-who-spent-her-life-in-the-u-s-facing-deportation-after-hospital-arrest/,A 15-year-old girl who has lived in the U.S. with her family since she was an infant is now alone in government custody and facing deportation after she was arrested by Customs and Border Protection … [+3522 chars],2020-09-26T03:04:21Z,-0.34,0.286,0.0,0.714
migrant,CBS News,Christopher Brito,"Melania Trump takes aim at critics, migrant children in secret recordings",https://www.cbsnews.com/news/melania-trump-audio-recording-migrant-children-christmas/,"First Lady Melania Trump downplayed her husband, President Trump's family separation policy and complained about Christmas planning in an expletive-filled secret recording aired by CNN. 
The leaked … [+3785 chars]",2020-10-02T18:09:14Z,-0.296,0.18,0.0,0.82
migrant,CBS News,CBS News,Guatemala turns around U.S.-bound migrant caravan from Honduras,https://www.cbsnews.com/news/migrant-caravan-guatemala-us-bound-migrants-from-honduras-stopped-covid-19/,"Guatemala City — Guatemala has sent back almost 3,500 Honduran migrants from a caravan that was heading to the United States over concerns they might spread COVID-19, President Alejandro Giammattei s… [+2285 chars]",2020-10-05T13:35:50Z,0.0,0.0,0.0,1.0
migrant,CBS News,CBS News,"Nearly 9,000 migrant children expelled from U.S. amid pandemic",https://www.cbsnews.com/video/nearly-9000-migrant-children-expelled-from-u-s-amid-pandemic/,"Watch CBSN Live
Copyright © 2020 CBS Interactive Inc. All rights reserved.",2020-09-14T20:50:02Z,-0.25,0.2,0.0,0.8
migrant,CBS News,CBS News,Appeals court upholds ban on holding migrant kids in hotels,https://www.cbsnews.com/news/appeals-court-upholds-ban-on-holding-immigrant-children-in-hotels/,Houston — An appeals court refused Sunday to allow the Trump administration to resume detaining immigrant children in hotel rooms before expelling them under rules adopted during the coronavirus pand… [+3592 chars],2020-10-05T09:18:46Z,-0.5574,0.286,0.0,0.714
migrant,CBS News,CBS News,Migrant caravan sets off from Honduras with eyes on U.S. border,https://www.cbsnews.com/news/migrant-caravan-sets-off-honduras-guatamala-mexico-eyes-on-us-border-immigration/,"San Pedro Sula, Honduras — Hundreds of migrants began walking Wednesday night from this city in northern Honduras toward the Guatemala border, testing a well-trod migration route now in times of the … [+4806 chars]",2020-10-01T07:40:43Z,0.0,0.0,0.0,1.0
migrant,CBS News,Camilo Montoya-Galvez,Border arrests rise for fifth consecutive month,https://www.cbsnews.com/news/border-arrests-rise-for-fifth-consecutive-month/,"U.S. immigration authorities along the southern border made more than 57,000 apprehensions of undocumented migrants last month, as crossings by single adults, families and unaccompanied minors contin… [+3954 chars]",2020-10-14T21:51:32Z,-0.4404,0.326,0.0,0.674
